Артикул,Товар,Категория,Подкатегория,Цена за штуку,Цена за упаковку,Цена за коробку,Кол-во в упаковке,Кол-во в коробке
12083,"Стакан бумажный для горячих напитков 1 сл., темно-синий Объемы: 450 мл.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,32,1600,32000,50,1000
12052,"С НАНЕСЕНИЕМ «TAKE AWAY» Объемы: 250 мл., d-80 мм.",БЕЗ КАТЕГОРИИ,Разное,18,18,18,1,1
12053,"С НАНЕСЕНИЕМ «TAKE AWAY» Объемы: , d-80 мм. 350 мл., d-90 мм.",БЕЗ КАТЕГОРИИ,Разное,26,1300,26000,50,1000
12054,"С НАНЕСЕНИЕМ «TAKE AWAY» Объемы: , d-80 мм. , d-90 мм. 450 мл., d-90 мм.",БЕЗ КАТЕГОРИИ,Разное,29,1450,29000,50,1000
12062,"Бумажный стакан для горячих напитков, однослойный, ЧЕРНЫЙ Объемы: 250 мл., d-80 мм.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,15,15,15,1,1
12063,"Бумажный стакан для горячих напитков, однослойный, ЧЕРНЫЙ Объемы: , d-80 мм. 350 мл., d-90 мм.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,24,1200,24000,50,1000
12064,"Бумажный стакан для горячих напитков, однослойный, ЧЕРНЫЙ Объемы: , d-80 мм. , d-90 мм. 450 мл., d-90 мм.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,29,1450,29000,50,1000
12072,"Бумажный стакан для горячих напитков, однослойный, КРАФТ Объемы: 250 мл., d-80 мм.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,15,15,15,1,1
12073,"Бумажный стакан для горячих напитков, однослойный, КРАФТ Объемы: , d-80 мм. 350 мл., d-90 мм.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,24,1200,24000,50,1000
12074,"Бумажный стакан для горячих напитков, однослойный, КРАФТ Объемы: , d-80 мм. , d-90 мм. 450 мл., d-90 мм.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,29,1450,29000,50,1000
12092,"Стакан бумажный 350 мл., для горячих напитков 1 сл., розовый",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,21,1050,21000,50,1000
12102,"Стакан бумажный 350 мл., для горячих напитков 1 сл., зеленый Объемы: 350 мл",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,39,1950,39000,50,1000
12110,"Стакан бумажный для горячих напитков 1 сл., оранжевый Объемы: 250 мл.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,17,850,17000,50,1000
12112,"Стакан бумажный для горячих напитков 1 сл., оранжевый Объемы: 250 мл. 350 мл",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,26,1300,26000,50,1000
12113,"Стакан бумажный для горячих напитков 1 сл., оранжевый Объемы: 350 мл 450 мл.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,30,1500,30000,50,1000
12120,"Бумажный стакан для горячих напитков, 2 сл, БЕЛЫЙ, 250 мл.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,34,850,21250,25,625
12121,"Бумажный стакан для горячих напитков, 2 сл, БЕЛЫЙ, 350 мл.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,45,1125,22500,25,500
12122,"Бумажный стакан для горячих напитков, 2 сл, БЕЛЫЙ, 450 мл.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,55,2750,55000,50,1000
